Constituency Ainm,Year,Full Name,
Carlow-Kilkenny,2020,BOBBY AYLWARD,M
Carlow-Kilkenny,2020,HELENA BYRNE,F
Carlow-Kilkenny,2020,PAT DEERING,M
Carlow-Kilkenny,2020,KATHLEEN FUNCHION,F
Carlow-Kilkenny,2020,ALAN HAYES,M
Carlow-Kilkenny,2020,DENIS HYNES,M
Carlow-Kilkenny,2020,JOHN McGUINNESS,M
Carlow-Kilkenny,2020,JENNIFER MURNANE Oï¿½CONNOR,F
Carlow-Kilkenny,2020,MALCOLM NOONAN,M
Carlow-Kilkenny,2020,MELISSA Oï¿½NEILL,F
Carlow-Kilkenny,2020,PATRICK O'NEILL,M
Carlow-Kilkenny,2020,JOHN PAUL PHELAN,M
Carlow-Kilkenny,2020,ADRIENNE WALLACE,F
Carlow-Kilkenny,2020,ANGELA RAY,F
Cavan-Monaghan,2020,Matt Carthy,M
Cavan-Monaghan,2020,Tate Donnelly,M
Cavan-Monaghan,2020,Joseph Duffy,M
Cavan-Monaghan,2020,Robbie Gallagher,M
Cavan-Monaghan,2020,Heather Humphreys,F
Cavan-Monaghan,2020,Sandra McIntyre,F
Cavan-Monaghan,2020,Sarah O'Reilly,F
Cavan-Monaghan,2020,T.P. O'Reilly,M
Cavan-Monaghan,2020,Brendan Smith,M
Cavan-Monaghan,2020,Emmett Smith,M
Cavan-Monaghan,2020,Niamh Smyth,F
Cavan-Monaghan,2020,Pauline Tully,F
Cavan-Monaghan,2020,Liam Van Der Spek,M
Clare,2020,David Barrett,M
Clare,2020,Pat Breen,M
Clare,2020,Joe Carey,M
Clare,2020,Martin Conway,M
Clare,2020,Cathal Crowe,M
Clare,2020,Timmy Dooley,M
Clare,2020,Roisin Garvey,F
Clare,2020,Michael Leahy,M
Clare,2020,Trudy Ann Leyden,F
Clare,2020,Rita McInerney,F
Clare,2020,Michael McNamara,M
Clare,2020,Conor O'Brien,M
Clare,2020,Theresa O'Donohoe,F
Clare,2020,Joseph Woulfe,M
Clare,2020,Violet-Anne Wynne,F
Cork East,2020,Pat Buckley,M
Cork East,2020,Hannon Conor,M
Cork East,2020,Thomas Kiely,M
Cork East,2020,Mary Linehan-Foley,F
Cork East,2020,James O'Connor,M
Cork East,2020,Pa O'Driscoll,M
Cork East,2020,Shane O'Grady,M
Cork East,2020,Kevin O'Keeffe,M
Cork East,2020,Sean O'Leary,M
Cork East,2020,Liam Quaide,M
Cork East,2020,Seï¿½n Sherlock,M
Cork East,2020,Frank Shinnick,M
Cork East,2020,David Stanton,M
Cork North Central,2020,Mick Barry,M
Cork North Central,2020,Colm Burke,M
Cork North Central,2020,James Coughlan,M
Cork North Central,2020,Tony Fitzgerald,M
Cork North Central,2020,Thomas Gould,M
Cork North Central,2020,Sinead Halpin,F
Cork North Central,2020,Timothy Joseph (T.J.) Hogan,M
Cork North Central,2020,Ger Keohane,M
Cork North Central,2020,John Maher,M
Cork North Central,2020,Oliver Moran,M
Cork North Central,2020,Sandra Murphy,F
Cork North Central,2020,Diarmaid O Cadhla,M
Cork North Central,2020,Stephen James O'Donovan,M
