Constituency Ainm,Year,Full Name,,
Carlow-Kilkenny,2020,BOBBY AYLWARD,M,
Carlow-Kilkenny,2020,HELENA BYRNE,F,Excluded
Carlow-Kilkenny,2020,PAT DEERING,M,Excluded
Carlow-Kilkenny,2020,KATHLEEN FUNCHION,F,Elected
Carlow-Kilkenny,2020,ALAN HAYES,M,Excluded
Carlow-Kilkenny,2020,DENIS HYNES,M,Excluded
Carlow-Kilkenny,2020,JOHN McGUINNESS,M,Elected
Carlow-Kilkenny,2020,JENNIFER MURNANE Oï¿½CONNOR,F,Elected
Carlow-Kilkenny,2020,MALCOLM NOONAN,M,Elected
Carlow-Kilkenny,2020,MELISSA Oï¿½NEILL,F,Excluded
Carlow-Kilkenny,2020,PATRICK O'NEILL,M,Excluded
Carlow-Kilkenny,2020,JOHN PAUL PHELAN,M,Elected
Carlow-Kilkenny,2020,ADRIENNE WALLACE,F,Excluded
Carlow-Kilkenny,2020,ANGELA RAY,F,Excluded
Cavan-Monaghan,2020,Matt Carthy,M,Elected
Cavan-Monaghan,2020,Tate Donnelly,M,Excluded
Cavan-Monaghan,2020,Joseph Duffy,M,Excluded
Cavan-Monaghan,2020,Robbie Gallagher,M,Excluded
Cavan-Monaghan,2020,Heather Humphreys,F,Elected
Cavan-Monaghan,2020,Sandra McIntyre,F,Excluded
Cavan-Monaghan,2020,Sarah O'Reilly,F,Excluded
Cavan-Monaghan,2020,T.P. O'Reilly,M,Excluded
Cavan-Monaghan,2020,Brendan Smith,M,Elected
Cavan-Monaghan,2020,Emmett Smith,M,Excluded
Cavan-Monaghan,2020,Niamh Smyth,F,Elected
Cavan-Monaghan,2020,Pauline Tully,F,Elected
Cavan-Monaghan,2020,Liam Van Der Spek,M,Excluded
Clare,2020,David Barrett,M,Excluded
Clare,2020,Pat Breen,M,Excluded
Clare,2020,Joe Carey,M,Elected
Clare,2020,Martin Conway,M,Excluded
Clare,2020,Cathal Crowe,M,Elected
Clare,2020,Timmy Dooley,M,
Clare,2020,Roisin Garvey,F,Excluded
Clare,2020,Michael Leahy,M,Excluded
Clare,2020,Trudy Ann Leyden,F,Excluded
Clare,2020,Rita McInerney,F,Excluded
Clare,2020,Michael McNamara,M,Elected
Clare,2020,Conor O'Brien,M,Excluded
Clare,2020,Theresa O'Donohoe,F,Excluded
Clare,2020,Joseph Woulfe,M,Excluded
Clare,2020,Violet-Anne Wynne,F,Elected
Cork East,2020,Pat Buckley,M,Elected
Cork East,2020,Hannon Conor,M,Excluded
Cork East,2020,Thomas Kiely,M,Excluded
Cork East,2020,Mary Linehan-Foley,F,Excluded
Cork East,2020,James O'Connor,M,Elected
Cork East,2020,Pa O'Driscoll,M,Excluded
Cork East,2020,Shane O'Grady,M,Excluded
Cork East,2020,Kevin O'Keeffe,M,
Cork East,2020,Sean O'Leary,M,Excluded
Cork East,2020,Liam Quaide,M,Excluded
Cork East,2020,Seï¿½n Sherlock,M,Elected
Cork East,2020,Frank Shinnick,M,Excluded
Cork East,2020,David Stanton,M,Elected
Cork North Central,2020,Mick Barry,M,Elected
Cork North Central,2020,Colm Burke,M,Elected
Cork North Central,2020,James Coughlan,M,Excluded
Cork North Central,2020,Tony Fitzgerald,M,Excluded
Cork North Central,2020,Thomas Gould,M,Elected
Cork North Central,2020,Sinead Halpin,F,Excluded
Cork North Central,2020,Timothy Joseph (T.J.) Hogan,M,Excluded
