Constituency,Surname,Firstname,Gender,Party,Party Abbreviation,Count Number,Required To Reach Quota,Required To Save Deposit,Votes,Result,Candidate Id,Constituency Number,Constituency Ainm,,Year,Full Name
Carlow-Kilkenny,AYLWARD,BOBBY,M,Fianna Fáil,F.F.,10,2289,0,7550,,161,1,Ceatharlach-Cill Chainnigh,,2020,BOBBY AYLWARD
Carlow-Kilkenny,BYRNE,HELENA,F,Renua Ireland,R.I.,10,0,1905,992,Excluded,162,1,Ceatharlach-Cill Chainnigh,,2020,HELENA BYRNE
Carlow-Kilkenny,DEERING,PAT,M,Fine Gael,F.G.,10,0,0,5929,Excluded,163,1,Ceatharlach-Cill Chainnigh,,2020,PAT DEERING
Carlow-Kilkenny,FUNCHION,KATHLEEN,F,Sinn Féin,S.F.,10,0,0,17493,Elected,164,1,Ceatharlach-Cill Chainnigh,,2020,KATHLEEN FUNCHION
Carlow-Kilkenny,HAYES,ALAN,M,Non-Party,NON-P.,10,0,0,2347,Excluded,165,1,Ceatharlach-Cill Chainnigh,,2020,ALAN HAYES
Carlow-Kilkenny,HYNES,DENIS,M,The Labour Party,LAB.,10,0,357,2208,Excluded,166,1,Ceatharlach-Cill Chainnigh,,2020,DENIS HYNES
Carlow-Kilkenny,McGUINNESS,JOHN,M,Fianna Fáil,F.F.,10,0,0,10558,Elected,167,1,Ceatharlach-Cill Chainnigh,,2020,JOHN McGUINNESS
Carlow-Kilkenny,MURNANE Oï¿½CONNOR,JENNIFER,F,Fianna Fáil,F.F.,10,0,0,9351,Elected,168,1,Ceatharlach-Cill Chainnigh,,2020,JENNIFER MURNANE Oï¿½CONNOR
Carlow-Kilkenny,NOONAN,MALCOLM,M,Green Party/ Comhaontas Glas,G.P.,10,1731,0,4942,Elected,169,1,Ceatharlach-Cill Chainnigh,,2020,MALCOLM NOONAN
Carlow-Kilkenny,Oï¿½NEILL,MELISSA,F,Irish Freedom Party,I.F.P.,10,0,2403,431,Excluded,170,1,Ceatharlach-Cill Chainnigh,,2020,MELISSA Oï¿½NEILL
Carlow-Kilkenny,O'NEILL,PATRICK,M,Fine Gael,F.G.,10,0,0,3674,Excluded,171,1,Ceatharlach-Cill Chainnigh,,2020,PATRICK O'NEILL
Carlow-Kilkenny,PHELAN,JOHN PAUL,M,Fine Gael,F.G.,10,0,0,6396,Elected,172,1,Ceatharlach-Cill Chainnigh,,2020,JOHN PAUL PHELAN
Carlow-Kilkenny,WALLACE,ADRIENNE,F,Solidarity - People Before Profit,S.P.B.P.,10,0,0,1558,Excluded,174,1,Ceatharlach-Cill Chainnigh,,2020,ADRIENNE WALLACE
Carlow-Kilkenny,RAY,ANGELA,F,Non-Party,NON-P.,10,0,2738,214,Excluded,175,1,Ceatharlach-Cill Chainnigh,,2020,ANGELA RAY
Cavan-Monaghan,Carthy,Matt,M,Sinn Féin,S.F.,11,0,0,16310,Elected,186,2,An Cabhï¿½n-Muineachï¿½n,,2020,Matt Carthy
Cavan-Monaghan,Donnelly,Tate,M,Green Party/ Comhaontas Glas,G.P.,11,0,0,2501,Excluded,187,2,An Cabhï¿½n-Muineachï¿½n,,2020,Tate Donnelly
Cavan-Monaghan,Duffy,Joseph,M,Non-Party,NON-P.,11,0,2773,159,Excluded,188,2,An Cabhï¿½n-Muineachï¿½n,,2020,Joseph Duffy
Cavan-Monaghan,Gallagher,Robbie,M,Fianna Fáil,F.F.,11,0,0,5062,Excluded,189,2,An Cabhï¿½n-Muineachï¿½n,,2020,Robbie Gallagher
Cavan-Monaghan,Humphreys,Heather,F,Fine Gael,F.G.,11,0,0,12808,Elected,190,2,An Cabhï¿½n-Muineachï¿½n,,2020,Heather Humphreys
Cavan-Monaghan,McIntyre,Sandra,F,Fine Gael,F.G.,11,0,1289,1301,Excluded,191,2,An Cabhï¿½n-Muineachï¿½n,,2020,Sandra McIntyre
Cavan-Monaghan,O'Reilly,Sarah,F,Aontu,A.,11,0,0,3840,Excluded,193,2,An Cabhï¿½n-Muineachï¿½n,,2020,Sarah O'Reilly
Cavan-Monaghan,O'Reilly,T.P.,M,Fine Gael,F.G.,11,3385,0,5124,Excluded,194,2,An Cabhï¿½n-Muineachï¿½n,,2020,T.P. O'Reilly
Cavan-Monaghan,Smith,Brendan,M,Fianna Fáil,F.F.,11,1027,0,7354,Elected,195,2,An Cabhï¿½n-Muineachï¿½n,,2020,Brendan Smith
Cavan-Monaghan,Smith,Emmett,M,Solidarity - People Before Profit,S.P.B.P.,11,0,1550,830,Excluded,196,2,An Cabhï¿½n-Muineachï¿½n,,2020,Emmett Smith
Cavan-Monaghan,Smyth,Niamh,F,Fianna Fáil,F.F.,11,1080,0,5745,Elected,197,2,An Cabhï¿½n-Muineachï¿½n,,2020,Niamh Smyth
Cavan-Monaghan,Tully,Pauline,F,Sinn Féin,S.F.,11,0,0,10166,Elected,198,2,An Cabhï¿½n-Muineachï¿½n,,2020,Pauline Tully
Cavan-Monaghan,Van Der Spek,Liam,M,The Labour Party,LAB.,11,0,1859,983,Excluded,199,2,An Cabhï¿½n-Muineachï¿½n,,2020,Liam Van Der Spek
Clare,Barrett,David,M,Non-Party,NON-P.,10,0,2572,400,Excluded,161,3,An Clï¿½r,,2020,David Barrett
Clare,Breen,Pat,M,Fine Gael,F.G.,10,0,0,5406,Excluded,162,3,An Clï¿½r,,2020,Pat Breen
Clare,Carey,Joe,M,Fine Gael,F.G.,10,555,0,5684,Elected,164,3,An Clï¿½r,,2020,Joe Carey
Clare,Conway,Martin,M,Fine Gael,F.G.,10,0,552,2285,Excluded,165,3,An Clï¿½r,,2020,Martin Conway
Clare,Crowe,Cathal,M,Fianna Fáil,F.F.,10,429,0,8355,Elected,166,3,An Clï¿½r,,2020,Cathal Crowe
Clare,Dooley,Timmy,M,Fianna Fáil,F.F.,10,1270,0,7763,,167,3,An Clï¿½r,,2020,Timmy Dooley
Clare,Garvey,Roisin,F,Green Party/ Comhaontas Glas,G.P.,10,0,0,5624,Excluded,168,3,An Clï¿½r,,2020,Roisin Garvey
Clare,Leahy,Michael,M,Irish Freedom Party,I.F.P.,10,0,2169,704,Excluded,169,3,An Clï¿½r,,2020,Michael Leahy
Clare,Leyden,Trudy Ann,F,Non-Party,NON-P.,10,0,2754,218,Excluded,170,3,An Clï¿½r,,2020,Trudy Ann Leyden
Clare,McInerney,Rita,F,Fianna Fáil,F.F.,10,0,0,4136,Excluded,171,3,An Clï¿½r,,2020,Rita McInerney
Clare,McNamara,Michael,M,Non-Party,NON-P.,10,0,0,7332,Elected,172,3,An Clï¿½r,,2020,Michael McNamara
Clare,O'Brien,Conor,M,Renua Ireland,R.I.,10,0,2789,187,Excluded,173,3,An Clï¿½r,,2020,Conor O'Brien
Clare,O'Donohoe,Theresa,F,Solidarity - People Before Profit,S.P.B.P.,10,0,1690,1196,Excluded,174,3,An Clï¿½r,,2020,Theresa O'Donohoe
Clare,Woulfe,Joseph,M,Non-Party,NON-P.,10,0,1472,1218,Excluded,175,3,An Clï¿½r,,2020,Joseph Woulfe
Clare,Wynne,Violet-Anne,F,Sinn Féin,S.F.,10,0,0,8987,Elected,176,3,An Clï¿½r,,2020,Violet-Anne Wynne
Cork East,Buckley,Pat,M,Sinn Féin,S.F.,8,0,0,12587,Elected,161,4,Corcaigh Thoir,,2020,Pat Buckley
Cork East,Conor,Hannon,M,Aontu,A.,8,0,1030,1337,Excluded,162,4,Corcaigh Thoir,,2020,Hannon Conor
Cork East,Kiely,Thomas,M,Non-Party,NON-P.,8,0,2099,435,Excluded,163,4,Corcaigh Thoir,,2020,Thomas Kiely
Cork East,Linehan-Foley,Mary,F,Non-Party,NON-P.,8,0,0,3903,Excluded,164,4,Corcaigh Thoir,,2020,Mary Linehan-Foley
Cork East,O'Connor,James,M,Fianna Fáil,F.F.,8,1178,0,7026,Elected,165,4,Corcaigh Thoir,,2020,James O'Connor
Cork East,O'Driscoll,Pa,M,Fine Gael,F.G.,8,0,0,4554,Excluded,166,4,Corcaigh Thoir,,2020,Pa O'Driscoll
